fund_id,grid_name,fund_name,gear,trigger_purchase_price,purchase_price,purchase_amount,purchase_shares,trigger_sell_price,sell_price,sell_shares,actual_sell_shares,sell_amount,profit,save_share_profit,save_share,grid_id,is_current
,中网,华宝油气,1,0.65,0.649,584.1,900,0.7,0.701,900,800,630.9,46.8,-93.4,100,1,0
,中网,华宝油气,0.95,0.6,0.599,658.9,1100,0.65,0.651,1100,1000,716.1,57.2,-73,100,1,0
,中网,华宝油气,0.9,0.55,0.549,658.8,1200,0.6,0.601,1200,1100,721.2,62.4,-57.8,100,1,0
,中网,华宝油气,0.85,0.5,0.499,698.6,1400,0.55,0.551,1400,1300,771.4,72.8,-37.4,100,1,0
,中网,华宝油气,0.8,0.45,0.449,718.4,1600,0.5,0.501,1600,1500,801.6,83.2,-17,100,1,0
,中网,华宝油气,0.75,0.4,0.399,758.1,1900,0.45,0.451,1900,1800,856.9,98.8,8.6,100,1,0
,中网,华宝油气,0.7,0.35,0.349,802.7,2300,0.4,0.401,2300,2200,922.3,119.6,39.4,100,1,0
,中网,华宝油气,0.65,0.3,0.299,837.2,2800,0.35,0.351,2800,2700,982.8,145.6,75.4,100,1,0
,中网,华宝油气,0.6,0.25,0.249,896.4,3600,0.3,0.301,3600,3500,1083.6,187.2,127,100,1,0
,中网,华宝油气,0.55,0.2,0.199,935.3,4700,0.25,0.251,4700,4600,1179.7,244.4,194.2,100,1,0
