fund_id,grid_name,fund_name,gear,trigger_purchase_price,purchase_price,purchase_amount,purchase_shares,trigger_sell_price,sell_price,sell_shares,actual_sell_shares,sell_amount,profit,save_share_profit,save_share,grid_id,is_current
,小网,华宝油气,1,0.44,0.439,878,2000,0.462,0.463,2000,1900,926,48,1.7,100,1,0
,小网,华宝油气,0.95,0.418,0.417,917.4,2200,0.439,0.44,2200,2100,967.78,50.38,6.39,100,1,0
,小网,华宝油气,0.9,0.397,0.396,950.64,2400,0.417,0.418,2400,2300,1003.092,52.452,10.6565,100,1,0
,小网,华宝油气,0.85,0.377,0.376,1015.8615,2700,0.396,0.397,2700,2600,1072.189575,56.328075,16.61735,100,1,0
,小网,华宝油气,0.8,0.358,0.357,1072.14825,3000,0.376,0.377,3000,2900,1131.905663,59.7574125,22.02722375,100,1,0
,小网,华宝油气,0.75,0.34,0.339,1120.229921,3300,0.357,0.358,3300,3200,1183.006417,62.77649606,26.92781675,100,1,0
,小网,华宝油气,0.7,0.323,0.322,1193.029598,3700,0.34,0.341,3700,3600,1260.266078,67.2364799,33.17523455,100,1,0
,小网,华宝油气,0.65,0.307,0.306,1255.700482,4100,0.323,0.324,4100,4000,1326.890506,71.19002411,38.82684103,100,1,0
,小网,华宝油气,0.6,0.285,0.284,1306.501059,4600,0.299,0.3,4600,4500,1381.256112,74.75505297,44.72774618,100,1,0
,小网,华宝油气,0.55,0.266,0.265,1378.442932,5200,0.279,0.28,5200,5100,1458.025078,79.58214659,51.54320278,100,1,0
,小网,华宝油气,0.5,0.245,0.244,1439.257536,5900,0.257,0.258,5900,5800,1523.315413,84.05787679,58.23897149,100,1,0
,小网,华宝油气,0.45,0.224,0.223,1518.78231,6800,0.236,0.237,6800,6700,1608.661425,89.87911549,66.22232983,100,1,0
,小网,华宝油气,0.4,0.204,0.203,1581.518048,7800,0.214,0.215,7800,7700,1676.583951,95.06590241,73.57123638,100,1,0
