date,code,value,share,fee,grid_id
2021/10/11,SZ162411,0.509,-1500,0.2,9
2021/9/28,SZ162411,0.475,-1900,0.2,1
2021/9/27,SZ162411,0.451,-1700,0.2,9
2021/9/24,SZ162411,0.445,-2100,0.2,1
2021/8/30,SZ162411,0.42,-2300,0.2,1
2021/8/30,SZ162411,0.403,-2600,0.2,1
2021/8/19,SZ162411,0.373,2700,0.2,1
2021/7/20,SZ162411,0.395,2400,0.2,1
2021/7/20,SZ162411,0.394,1900,0.2,9
2021/7/19,SZ162411,0.407,2200,0.2,1
2021/7/8,SZ162411,0.439,2000,0.2,1
2021/6/22,SZ162411,0.464,-1900,0.2,1
2021/6/21,SZ162411,0.439,2000,0.2,1
2021/6/3,SZ162411,0.453,-1700,0.2,9
2021/2/25,SZ162411,0.401,-2100,0.2,9
2021/2/9,SZ162411,0.356,-2600,0.2,9
2020/12/11,SZ162411,0.309,-3400,0.2,9
2020/9/28,SZ162411,0.223,893,0.2,9
2020/9/28,SZ162411,0.225,438,0.2,9
2020/9/28,SZ162411,0.225,438,0.2,9
2020/9/25,SZ162411,0.223,442,0.2,9
2020/9/25,SZ162411,0.223,442,0.2,9
2020/9/24,SZ162411,0.239,-1300,0.2,9
2020/9/15,SZ162411,0.236,1271,0.2,9
2020/9/15,SZ162411,0.232,424,0.2,9
2020/9/15,SZ162411,0.232,424,0.2,9
2020/9/14,SZ162411,0.231,426,0.2,9
2020/9/14,SZ162411,0.231,426,0.2,9
2020/9/11,SZ162411,0.254,-1200,0.2,9
2020/9/11,SZ162411,0.244,403,0.2,9
2020/9/10,SZ162411,0.259,-1200,0.2,9
2020/9/9,SZ162411,0.259,-1200,0.2,9
2020/7/21,SZ162411,0.269,5600,0.2,9
2020/7/16,SZ162411,0.262,3808,0.2,9
2020/7/15,SZ162411,0.257,3839,0.2,9
