date,code,value,share,fee,grid_id
2021/9/15,SZ159920,1.313,800,0.2,8
2021/9/7,SZ159920,1.386,-700,0.2,8
2021/8/20,SZ159920,1.308,800,0.2,8
2021/8/4,SZ159920,1.386,-700,0.2,8
2021/8/2,SZ159920,1.364,800,0.2,8
2021/7/28,SZ159920,1.313,800,0.2,8
2021/5/11,SZ159920,1.457,700,0.2,8
2021/4/19,SZ159920,1.532,-700,0.2,8
2021/3/24,SZ159920,1.459,700,0.2,8
2021/1/19,SZ159920,1.532,-700,0.2,8
2021/1/11,SZ159920,1.462,-800,0.2,8
2020/11/10,SZ159920,1.401,-700,0.2,8
2020/9/21,SZ159920,1.313,800,0.2,8
2020/7/27,SZ159920,1.386,800,0.2,8
2020/7/27,SZ159920,1.395,700,0.2,8
